Pl.	Dos	Nom	Club	Sx	Cat	Par cat.	5km	10km	12km	15km	Temps
181.	868	BOURJON HUGO		Homme	SEH	126	0:17:22	0:34:05	0:42:50	0:51:14	1:12:05
182.	1552	FRDEVELAY HADRIEN	US CRETEIL	Homme	M0H	35	0:16:58	0:33:44	0:42:33	0:51:04	1:12:12
183.	7265	FRBIOUDI BENJAMIN	STADE BORDELAIS ATHLETISME*	Homme	SEH	127	0:17:13	0:34:05	0:43:00	0:51:27	1:12:12
184.	2815	FRTHIERCELIN ANTOINE		Homme	SEH	128	0:17:30	0:34:27		0:51:52	1:12:12
185.	7301	FRGANTES LUCAS	S/L CA ORSAY	Homme	SEH	129	0:17:23	0:34:18	0:43:17	0:51:46	1:12:14
186.	5254	FRMONTMEAT THIBAULT		Homme	SEH	130	0:16:53	0:33:11	0:41:53	0:50:19	1:12:17
187.	8199	FRODOUX MATTHIEU	S/L AC PARIS-JOINVILLE	Homme	SEH	131	0:17:19	0:34:06	0:42:58	0:51:29	1:12:17
188.	4908	FRSCARFOGLIERO FABIEN	UA SOCIETE GENERALE	Homme	M1H	13	0:17:30	0:34:21	0:43:13	0:51:36	1:12:21
189.	6343	FRJOURDON PAUL	NANTES EC	Homme	SEH	132	0:17:28	0:34:22	0:43:15	0:51:39	1:12:23
190.	6715	FRSCHAAL FLORENT		Homme	SEH	133	0:16:49	0:33:26	0:42:21	0:50:57	1:12:25
191.	671	FRGRISOT VALENTIN	EA PAYS DE BROCELIANDE	Homme	SEH	134	0:16:16	0:32:47	0:41:40	0:50:14	1:12:26
192.	2217	FRBLEUZAT VALENTIN	SAM PARIS 12	Homme	SEH	135	0:17:29	0:34:05	0:42:57	0:51:23	1:12:29
193.	4496	FRROIZIL QUENTIN	S/L CA NORD OUEST MAYENNAIS	Homme	SEH	136	0:17:15	0:34:06	0:42:56	0:51:23	1:12:29
194.	6954	FRCHENU THEO	STADE BRESTOIS *	Homme	SEH	137	0:16:51	0:33:16	0:42:26	0:50:57	1:12:32
195.	6472	WILLIAMS GERAINT		Homme	M1H	14	0:17:42	0:34:38	0:43:29	0:51:55	1:12:32
196.	708	FREL IDRISSI BILALE	AJ AUXERRE SECTION MARATHON	Homme	SEH	138	0:17:22	0:34:07	0:43:10	0:51:39	1:12:33
197.	1080	FRGACHE MATHIEU	CS CLICHY ATHLETISME	Homme	SEH	139	0:17:12	0:33:56	0:42:50	0:51:21	1:12:37
198.	6389	FRVITTAZ REMI	S/L EA CREIL	Homme	SEH	140	0:17:10	0:33:53	0:42:50	0:51:26	1:12:38
199.	8674	FRBEAUSSART RÉMI		Homme	SEH	141	0:17:32	0:34:33	0:43:33	0:52:05	1:12:40
200.	1332	MAFENJIRO ALI	ATHLETIC CLUB DE COLOMBES	Homme	M0H	36	0:17:32	0:34:28	0:43:22	0:51:48	1:12:40
201.	4319	FRSERRANO AURÉLIEN	NANTES EC	Homme	M0H	37	0:16:59	0:33:32	0:42:15	0:50:39	1:12:41
202.	7197	FRPELLICOT MAXIME	DRAGUIGNAN UC	Homme	SEH	142	0:17:14	0:33:57	0:42:44	0:51:14	1:12:43
203.	3198	***** DOSSARD INCONNU					0:16:50	0:33:02	0:41:39	0:51:16	1:12:43
204.	3397	FREHLING ARNAUD	S/L ST MAX ESSEY CLUB ATHLETIC	Homme	M0H	38	0:17:36	0:34:40	0:43:40	0:52:06	1:12:43
205.	12269	FRSÉNÉCHAL MATHILDE	AJ BLOIS-ONZAIN	Femme	SEF	1	0:17:33	0:34:42	0:43:33	0:52:00	1:12:44
206.	7052	FRRAPITA OWEN	EA CERGY PONTOISE ATHLETISME *	Homme	ESH	6	0:16:48	0:33:17	0:42:16	0:50:57	1:12:45
207.	7579	FRGOURDON HUGO	PARIS SPORT CLUB	Homme	SEH	143	0:16:46	0:33:01	0:41:41	0:50:16	1:12:45
208.	6541	FRVERGER THOMAS	ZOOM VOLT RUNNERS	Homme	M0H	39	0:17:15	0:34:04	0:42:51	0:51:26	1:12:45
209.	7974	FRNAVARRO ALEXANDRE	AO CHARENTON	Homme	SEH	144	0:16:51	0:33:14	0:41:56	0:50:33	1:12:47
210.	7558	FRNAVARRO NICOLAS	SCO STE-MARGUERITE MARSEILLE*	Homme	SEH	145	0:15:24	0:31:26	0:40:14	0:51:32	1:12:48
211.	3319	FRBEAUFILS HENRIQUE	BOULOGNE-SUR-MER AC	Homme	SEH	146	0:17:24	0:34:15	0:43:07	0:51:38	1:12:48
212.	2257	FRCORRE MATHIEU	RUN UP NANTERRE	Homme	SEH	147	0:17:28	0:34:25	0:43:27	0:51:54	1:12:50
213.	4853	FRHOGREL FRANÇOIS	BARBES RUNNERS	Homme	M0H	40	0:17:12	0:33:56	0:42:58	0:51:34	1:12:51
214.	4626	FRBOUDEAU MARCELIN	LIMOGES ATHLE*	Homme	SEH	148	0:17:32	0:34:31	0:43:30	0:51:57	1:12:51
215.	2385	FRPHILIPPE MARTIN	S/L CA ORSAY	Homme	SEH	149	0:16:51	0:33:16	0:42:09	0:50:57	1:12:52
216.	847	FRNICOLLEAU BRICE	S/L ANGERS TRIATHLON	Homme	SEH	150	0:17:33	0:34:29	0:43:25	0:51:56	1:12:52
217.	683	FRBOUTIN CLEMENT		Homme	SEH	151	0:17:22	0:34:17	0:43:17	0:51:54	1:12:52
218.	1402	FRGILLES CHRISTOPHE	DASSAULT SPORTS SURESNES	Homme	M0H	41	0:17:05	0:33:42	0:42:42	0:51:27	1:12:54
219.	1016	FRCHIRENT THOMAS		Homme	SEH	152	0:17:36	0:34:32	0:43:21	0:51:46	1:13:00
220.	6581	FRNÉEL VALENTIN	US TALENCE*	Homme	SEH	153	0:17:43	0:34:47	0:43:43	0:52:11	1:13:02
221.	2298	FRMOUNIER PAUL	USM MALAKOFF	Homme	M0H	42	0:17:05	0:33:54	0:42:54	0:51:43	1:13:04
222.	702	FRNEMOND QUENTIN	EA MACON	Homme	SEH	154	0:17:11	0:33:57	0:42:57	0:51:41	1:13:09
223.	6723	FRBIZIEN THÉO	ATHLETIC CLUB DU PAYS D ANCENIS	Homme	SEH	155	0:17:55	0:34:58	0:43:56	0:52:25	1:13:09
224.	4781	FRCLOUET ROMAIN		Homme	ESH	7	0:17:56	0:35:13	0:44:14	0:52:47	1:13:09
225.	2796	FRHANNOT STÉPHANE	AS TOURLAVILLE	Homme	M3H	3	0:17:16	0:34:10	0:43:13	0:51:53	1:13:11
226.	5951	FRGARDES LOÏC	S/L STADE FRANCAIS (PARIS)	Homme	SEH	156	0:17:04	0:33:44	0:42:42	0:51:27	1:13:12
227.	2327	FRMEBREK HUGO	STADE BRESTOIS *	Homme	SEH	157	0:17:43	0:34:50		0:52:14	1:13:14
228.	8327	FRFRICKER GEOFFROY	UFIT ATHLETIC CLUB PUTEAUX	Homme	SEH	158	0:17:28	0:34:35	0:43:29	0:52:08	1:13:15
229.	5714	FRSALIOU PIERRE	CS CLICHY ATHLETISME	Homme	SEH	159	0:17:35	0:34:32	0:43:31	0:52:05	1:13:17
230.	4144	FRAUBERT CLÉMENT		Homme	SEH	160	0:17:07	0:33:42	0:42:24	0:50:57	1:13:19
231.	2916	FRTESSON ERWAN	SC UNIVERSITAIRE DE FRANCE	Homme	SEH	161	0:17:35	0:34:47	0:43:52	0:52:26	1:13:19
232.	4890	FRFAURE FABIEN		Homme	SEH	162	0:17:34	0:34:32	0:43:32	0:52:04	1:13:20
233.	3476	FRHASSANI ABASSI	EA CERGY PONTOISE ATHLETISME *	Homme	M1H	15	0:17:53	0:35:03	0:43:57	0:52:26	1:13:22
234.	8531	FRCORMIER FRÉDÉRIC	STADE OLYMPIQUE DU MAINE ATHLETISME	Homme	M2H	2	0:17:11	0:34:06	0:43:10	0:51:51	1:13:23
235.	2892	FRDURIEZ THOMAS		Homme	SEH	163	0:17:08	0:34:05	0:43:08	0:51:50	1:13:23
236.	1609	FRQUACH HIEN-THUAN	RUN UP NANTERRE	Homme	M2H	3	0:17:42	0:34:33	0:43:25	0:51:56	1:13:23
237.	7663	FRAUNE JULIEN	NICE COTE D'AZUR ATHLETISME *	Homme	ESH	8	0:17:59	0:35:08	0:44:06	0:52:34	1:13:28
238.	10512	MENINGAND LORENA	HARBAT RUNNING LAB	Femme	SEF	2	0:17:43	0:34:58	0:43:57	0:52:31	1:13:30
239.	969	FRBIENAIME LOUIS	STADE DIEPPOIS	Homme	SEH	164	0:17:47	0:34:56	0:43:51	0:52:17	1:13:30
240.	6916	FRGUERET JULIEN	OC CHATEAUDUN BONNEVAL A.*	Homme	SEH	165	0:17:44	0:34:41	0:43:40	0:52:17	1:13:31
241.	685	FRCHEVALIER EMILIEN		Homme	SEH	166	0:18:42	0:36:10	0:45:14	0:53:29	1:13:31
242.	3955	FRAUGER KENAN	AC BOULOGNE BILLANCOURT	Homme	SEH	167	0:17:45	0:35:00	0:44:03	0:52:35	1:13:32
243.	7819	FRTOURTE CLÉMENT	S/L UNION CLUB ATHLETIQUE	Homme	SEH	168	0:17:45	0:34:57	0:43:54	0:52:23	1:13:32
244.	697	FRGARCIN MAXIME	EA CERGY PONTOISE ATHLETISME *	Homme	SEH	169	0:17:28	0:34:28	0:43:31	0:52:12	1:13:33
245.	703	FRHELIN HUGUES	SPN VERNON*	Homme	M0H	43	0:17:27	0:34:32	0:43:36	0:52:17	1:13:36
246.	841	FRPAUL SIMON		Homme	SEH	170	0:17:41	0:34:47	0:43:49	0:52:25	1:13:36
247.	1667	IESMYTH JOHN	PARIS SPORT CLUB	Homme	SEH	171	0:17:55	0:35:10	0:44:10	0:52:43	1:13:36
248.	1685	FRDARDE BENJAMIN	US METRO TRANSPORT (PARIS)	Homme	SEH	172	0:18:02	0:35:13	0:44:05	0:52:34	1:13:39
249.	3456	FRAUROY ALEXIS	AS MARCOUSSIS	Homme	SEH	173	0:18:00	0:35:05	0:44:07	0:52:41	1:13:39
250.	3565	FRSCHERER AYMERIC	C.O.S. VILLERS ATHLETISME	Homme	SEH	174	0:17:42	0:34:37	0:43:28	0:51:59	1:13:41
251.	1371	FRLAKRI HAMZA	LA MEUTE RUNNING	Homme	M0H	44	0:16:38	0:32:59	0:41:35	0:49:45	1:13:44
252.	7155	FRMARYNIAK WILLIAM	RUN UP NANTERRE	Homme	SEH	175	0:17:51	0:34:59	0:43:59	0:52:38	1:13:44
253.	5202	FRCHEVRIER AUBIN		Homme	SEH	176	0:17:29	0:34:32	0:43:36	0:52:16	1:13:44
254.	6971	FRBLAUWART AURÉLIEN	RUN UP NANTERRE	Homme	SEH	177	0:17:11	0:33:54	0:43:01	0:51:44	1:13:45
255.	7222	FRAGUERO ROMAIN	S/L AC ST GRATIEN-SANNOIS	Homme	SEH	178	0:17:29	0:34:15	0:43:11	0:51:47	1:13:45
256.	710	FRTHOMAS MATHIS	J3 SPORTS AMILLY*	Homme	SEH	179	0:17:43	0:34:57	0:44:00	0:52:36	1:13:45
257.	4532	FRVINCENT DE LESTRADE VICTOR	SC UNIVERSITAIRE DE FRANCE	Homme	SEH	180	0:18:03	0:35:29	0:44:34	0:53:08	1:13:46
258.	7619	FRMONNET PIERRE		Homme	SEH	181	0:17:41	0:34:49	0:43:53	0:52:34	1:13:46
259.	3028	FRKIEFFER THIBAUT	ATHLETISME METZ METROPOLE*	Homme	M0H	45	0:17:40	0:34:56	0:43:57	0:52:33	1:13:50
260.	3361	FRREIGNIER RODRIGUE	ATHLETISME MARAIS CARENTAN	Homme	SEH	182	0:17:50	0:35:10	0:44:11	0:52:46	1:13:50
261.	7662	FRBRIZI MARC-ANDRE		Homme	M0H	46	0:17:59	0:35:14	0:44:13	0:52:44	1:13:51
262.	7818	FRMATRAY LUC	ZOOM VOLT RUNNERS	Homme	SEH	183	0:16:53	0:33:15	0:41:57	0:50:23	1:13:53
263.	3620	FRFOUCHER SACHA		Homme	SEH	184	0:17:11	0:34:03	0:43:12	0:52:01	1:13:53
264.	6113	FRJONVAUX SÉBASTIEN		Homme	SEH	185	0:17:46	0:34:54	0:43:54	0:52:32	1:13:53
265.	4587	FRGAUTIER AURÉLIEN	SAINT MALO SPORTS LOISIRS	Homme	M0H	47	0:16:53	0:34:13	0:43:35	0:52:41	1:13:55
266.	706	FRVIDAL-NAQUET ELIE	S/L PARIS UC	Homme	SEH	186	0:17:29	0:34:30	0:43:28	0:52:12	1:13:55
267.	5382	FRMICHARD ALEXANDRE	S/L AC VILLENEUVE D'ASCQ	Homme	SEH	187	0:17:43	0:34:59	0:43:59	0:52:31	1:13:55
268.	5866	FRBADR YOUSSEF		Homme	M1H	16	0:17:46	0:35:02	0:44:09	0:52:47	1:13:56
269.	7509	FRHARDY SEAN		Homme	SEH	188	0:17:55	0:35:09	0:44:08	0:52:47	1:13:56
270.	707	FRLESAGE BENJAMIN	ATHLE CHARTRES LUCE ASPTT MAINVILLIERS	Homme	M0H	48	0:17:45	0:34:53	0:43:54	0:52:32	1:13:57
271.	5617	FRDE FRANQUEVILLE MATTHIEU		Homme	SEH	189	0:17:54	0:34:54	0:43:53	0:52:30	1:13:58
272.	6919	FRBRIANT MAXIME		Homme	SEH	190	0:17:42	0:34:57	0:44:03	0:52:42	1:13:59
273.	1094	FRMONIER FREDERIC	SCO STE-MARGUERITE MARSEILLE*	Homme	M1H	17	0:18:06	0:35:07	0:44:09	0:52:49	1:13:59
274.	6895	FRBAUTISTA ROMUALD	S/L E. CEYRAT A.	Homme	M0H	49	0:17:04	0:34:06	0:43:24	0:52:17	1:14:00
275.	6616	FREL MAMOUNI AMAURY	CSA KREMLIN BICETRE	Homme	SEH	191	0:18:08	0:35:27	0:44:38	0:53:18	1:14:02
276.	5475	FRMERAND JEREMY	ENTENTE DES MAUGES	Homme	M2H	4	0:17:13	0:33:59	0:43:01	0:51:46	1:14:03
277.	2466	FRNOUSBAUM FRANÇOIS-XAVIER	XVe ATHLETIC CLUB	Homme	M1H	18	0:17:34	0:34:48	0:44:00	0:52:46	1:14:05
278.	3093	FRGESLOT ANTOINE	STADE SOTTEVILLAIS 76*	Homme	SEH	192	0:17:58	0:35:22	0:44:23	0:53:02	1:14:05
279.	3475	FRKEROUI JIHAD	EA CERGY PONTOISE ATHLETISME *	Homme	M1H	19	0:17:52	0:35:10	0:44:19	0:53:07	1:14:08
280.	7728	FRHERVEIC ERWAN	CAEN ATHLETIC CLUB*	Homme	M3H	4	0:17:51	0:35:04	0:44:07	0:52:47	1:14:09
281.	3366	FRMAIGNE CLÉMENT	JOUE RUNNING 37	Homme	JUH	2	0:17:59	0:35:25	0:44:28	0:53:02	1:14:14
282.	5990	FRRICHARD VINCENT		Homme	M1H	20	0:17:55	0:35:11	0:44:19	0:53:03	1:14:14
283.	7593	FRBUSNEL LUBIN	LES FURETS D EIFFAGE	Homme	M0H	50	0:17:54	0:35:23	0:44:37	0:53:14	1:14:16
284.	6517	FRJAUNET RÉMI		Homme	SEH	193	0:17:57	0:35:18	0:44:17	0:53:03	1:14:16
285.	3844	FRROCHEFEUILLE JULIEN		Homme	M0H	51	0:17:30	0:34:40	0:43:48	0:52:38	1:14:19
286.	7760	FRPERNOT DYLAN	RUN UP NANTERRE	Homme	SEH	194	0:18:02	0:35:25	0:44:23	0:53:02	1:14:20
287.	4087	BAILLUET TIMÉO		Homme	SEH	195	0:18:19	0:35:57	0:45:02	0:53:33	1:14:21
288.	5833	FRNOEL TOM	TEAM LENGLEN ATHLETIC CLUB	Homme	SEH	196	0:17:20	0:34:15	0:43:14	0:51:54	1:14:21
289.	8378	FRBANOS JONATHAN	S/L U.S.O MONDEVILLE	Homme	SEH	197	0:18:14	0:35:46	0:44:53	0:53:31	1:14:21
290.	3031	FRMOREAU LOUIS	RUN UP NANTERRE	Homme	SEH	198	0:17:30	0:34:37	0:43:47	0:52:44	1:14:27
291.	2180	FRVERDELET ARTHUR		Homme	SEH	199	0:18:00	0:35:25	0:44:34	0:53:20	1:14:27
292.	5526	FRLAPEYRIE ARNAUD		Homme	SEH	200	0:17:46	0:34:53	0:43:56	0:52:42	1:14:28
293.	1458	FRMOUFFOK SAMIR		Homme	SEH	201	0:17:06	0:33:45	0:42:29	0:50:52	1:14:28
294.	1933	FRFREMAUX JULIEN		Homme	SEH	202	0:17:51	0:35:09	0:44:18	0:53:08	1:14:30
295.	2503	FRVIGLIETTA ANTHONY	S/L POITIERS ETUDIANTS CLUB	Homme	SEH	203	0:17:56	0:35:12	0:44:14	0:52:49	1:14:30
296.	3703	FRHOUSSAIS JOSEPH		Homme	SEH	204	0:17:41	0:34:54	0:43:58	0:52:41	1:14:31
297.	8053	FRSEDEFIAN HUGO	HARBAT RUNNING LAB	Homme	SEH	205	0:18:08	0:35:30	0:44:36	0:53:13	1:14:32
298.	8277	FRDEROSSI MAXIME		Homme	SEH	206	0:18:01	0:35:26	0:44:33	0:53:16	1:14:32
299.	7353	FRHENRIO MARC		Homme	SEH	207	0:18:06	0:35:28	0:44:35	0:53:22	1:14:33
300.	2304	FRCHARRADE CHRISTOPHE		Homme	SEH	208		0:35:10	0:44:13	0:52:51	1:14:33
301.	692	FRBONVIN CHARLES	BUSSY ST GEORGES ATHLETISME	Homme	M1H	21	0:18:08	0:35:30	0:44:37	0:53:23	1:14:34
302.	3942	FRWERLING BENJAMIN	ZOOM VOLT RUNNERS	Homme	SEH	209	0:18:05	0:35:32	0:44:43	0:53:24	1:14:34
303.	6599	FRBILY HUGO		Homme	SEH	210	0:17:37	0:34:55	0:44:03	0:52:46	1:14:36
304.	2167	FRCHIQUET JEROME	S/L UAI NOGENT-SUR-MARNE	Homme	M3H	5	0:17:20	0:34:29	0:43:44	0:52:43	1:14:36
305.	680	FRWHITBECK CHRISTOPHER		Homme	M0H	52	0:18:03	0:35:29	0:44:37	0:53:23	1:14:37
306.	693	FRCLEMENT VENCESLAS	US CRETEIL	Homme	M0H	53	0:17:56	0:35:13	0:44:19	0:53:07	1:14:38
307.	4715	FRSERRATRICE THOMAS		Homme	SEH	211	0:18:04	0:35:29	0:44:36	0:53:15	1:14:39
308.	6433	FRGIBERT MATTHIEU	ASPTT TOURS METROPOLE	Homme	M0H	54	0:18:05	0:35:25	0:44:33	0:53:14	1:14:39
309.	7534	FRGUERANGER THIBAULT	S/L MAISONS-LAFFITTE ATHLETISME	Homme	M0H	55	0:17:28	0:34:43	0:44:03	0:52:53	1:14:39
310.	952	FRLALLEMENT GUILLAUME		Homme	M0H	56	0:17:53	0:35:08	0:44:09	0:52:52	1:14:41
311.	3235	FRSAUVAGET JEREMY	ZOOM VOLT RUNNERS	Homme	M0H	57	0:16:53	0:33:14	0:41:57	0:50:23	1:14:43
312.	6206	FRROUXEL DONOVAN		Homme	SEH	212	0:17:14	0:34:32	0:43:44	0:52:30	1:14:43
313.	3013	FRFEIGNE ROBIN	STADE BORDELAIS ATHLETISME*	Homme	M0H	58	0:17:05	0:33:41	0:43:01	0:52:29	1:14:44
314.	3004	FRROUSSEAUX ANTOINE		Homme	SEH	213	0:18:04	0:35:29	0:44:37	0:53:22	1:14:44
315.	8591	FRHUBERT TONY	LA MEUTE RUNNING	Homme	SEH	214	0:17:58	0:35:02	0:44:00	0:52:39	1:14:44
316.	938	FRAUGER JÉRÔME	RACING MULTI ATHLON	Homme	M1H	22	0:18:15	0:35:32	0:44:42	0:53:23	1:14:45
317.	8198	FRSOLLE GRÉGOIRE		Homme	SEH	215	0:16:46	0:33:39	0:42:44	0:51:38	1:14:45
318.	7941	FRKERBIRIOU VINCENT	PLUMAUGAT ATHLETISME	Homme	SEH	216	0:18:06		0:44:40	0:53:26	1:14:46
319.	6405	FRKERIEN CLEMENT	AJS LA GARDE	Homme	M1H	23	0:17:52	0:35:11	0:44:15	0:52:59	1:14:48
320.	5215	FRMIRI ILYES	RUN UP NANTERRE	Homme	SEH	217	0:17:31	0:34:32	0:43:35	0:52:29	1:14:48
321.	7906	FRLE QUELLEC FLORIAN	TEAM INFINITY RUN	Homme	SEH	218	0:18:13	0:35:48	0:44:58	0:53:40	1:14:48
322.	8476	FRCHEVRIER MARC		Homme	SEH	219	0:17:58	0:35:24	0:44:32	0:53:19	1:14:49
323.	7399	FRCORMIER THOMAS	JA MONTROUGE	Homme	SEH	220	0:18:06	0:35:27	0:44:41	0:53:25	1:14:49
324.	675	FRMARQUE-PUCHEU FRANÇOIS		Homme	SEH	221	0:18:06	0:35:31	0:44:35	0:53:12	1:14:50
325.	857	FRBOUDEHEN LAURENT		Homme	M0H	59	0:18:03	0:35:29	0:44:41	0:53:25	1:14:50
326.	4120	FRPAUGAM ALEXIS		Homme	SEH	222	0:17:28	0:34:37	0:43:51	0:52:43	1:14:51
327.	6543	GBCOGHILL IAN	LE PACK	Homme	SEH	223	0:18:24	0:35:56	0:45:07	0:53:46	1:14:52
328.	3446	FRDELONCLE FABRICE	S/L AVIA CLUB ATHLETISME	Homme	M0H	60	0:17:57	0:35:24	0:44:40	0:53:30	1:14:53
329.	8540	FRLAMRAYAH MEHDI		Homme	SEH	224	0:18:07	0:35:36	0:44:42	0:53:23	1:14:53
330.	8768	FRBUSSIERAS THOMAS	S/L AVIA CLUB ATHLETISME	Homme	M1H	24	0:18:04	0:35:27	0:44:35	0:53:22	1:14:53
331.	7834	FRBENCHELLAL HAROUN	REVEIL SPORTIF DE ST CYR/LOIRE	Homme	SEH	225	0:18:05	0:35:32	0:44:40	0:53:27	1:14:54
332.	6345	FRMEVEL HUGO		Homme	SEH	226	0:18:15	0:35:50	0:45:00	0:53:41	1:14:55
333.	7659	SEGUY NICOLAS	CO-KM 42 ST JUST LE MARTEL	Homme	M1H	25	0:18:15	0:35:48	0:44:57	0:53:36	1:14:56
334.	6569	FRGALLAROTTI LAURENT	S/L EA CREIL	Homme	SEH	227	0:17:57	0:35:25	0:44:26	0:53:07	1:14:57
335.	3593	FRDESROY PAUL	S/L AVIA CLUB ATHLETISME	Homme	SEH	228	0:17:57	0:35:18	0:44:40	0:53:28	1:14:58
336.	4739	FRAYMARD NATHAN	S/L GRENOBLE UC	Homme	SEH	229	0:17:46	0:35:08	0:44:16	0:53:10	1:14:59
337.	1811	FRMAROUSÉ BENOIT		Homme	M1H	26	0:17:57	0:35:19	0:44:29	0:53:14	1:14:59
338.	1025	FRCHOQUENET BAPTISTE	NEUILLY-PLAISANCE SPORTS	Homme	M0H	61	0:17:56	0:35:20	0:44:31	0:53:21	1:15:00
339.	1691	FRLAMARTI REMI	PARIS SPORT CLUB	Homme	SEH	230	0:17:55	0:35:21	0:44:34	0:53:20	1:15:00
340.	3428	FRBONNAIRE ANTOINE	SC UNIVERSITAIRE DE FRANCE	Homme	SEH	231	0:18:16	0:35:53	0:44:58	0:53:40	1:15:00
341.	954	FRMINEAU PAUL	AS RUN IN NIORT	Homme	SEH	232	0:18:23	0:36:02	0:45:21	0:54:06	1:15:03
342.	1846	FRDUCHATEL MALO	TEAM LENGLEN ATHLETIC CLUB	Homme	SEH	233	0:18:10	0:35:37	0:44:46	0:53:32	1:15:03
343.	718	FRDISSLER FRANTZ		Homme	M4H	1	0:19:02	0:36:23	0:45:30	0:54:03	1:15:04
344.	6643	FRURLACHER OLIVIER	S/L USON ATHLE	Homme	M2H	5	0:17:43	0:35:01	0:44:12	0:52:59	1:15:05
345.	5144	FRBRULON LÉO	S/L STADE FRANCAIS (PARIS)	Homme	SEH	234	0:18:08	0:35:31	0:44:47	0:53:34	1:15:05
346.	5682	FRBASTIDON TIMOTHÉE	TEAM LENGLEN ATHLETIC CLUB	Homme	SEH	235	0:16:52	0:34:25	0:43:48	0:52:50	1:15:07
347.	8798	FRBRIA TOUFIQ		Homme	M1H	27	0:17:07	0:34:35	0:43:55	0:52:54	1:15:07
348.	2935	FRBRUN MATHIS	S/L UNION CLUB ATHLETIQUE	Homme	SEH	236	0:16:56	0:34:17	0:44:06	0:52:50	1:15:08
349.	6073	FRFIEVET ALOÏS	SC UNIVERSITAIRE DE FRANCE	Homme	SEH	237	0:18:12	0:35:40	0:44:51	0:53:35	1:15:09
350.	1126	FRGRAND-PERRET YOANN		Homme	SEH	238	0:17:58	0:35:16	0:44:29	0:53:15	1:15:10
351.	4580	FRBUIL PIERRE-ALEXANDRE		Homme	SEH	239	0:18:12	0:35:51	0:45:04	0:53:56	1:15:11
352.	2934	FRSEVILLA MATTHIAS	STADE BORDELAIS ATHLETISME*	Homme	SEH	240	0:17:50	0:35:11	0:44:21	0:53:16	1:15:12
353.	4932	FRPINEAUD CÉLESTIN		Homme	SEH	241	0:18:10	0:35:42	0:44:56	0:53:44	1:15:14
354.	3188	FRDENÉ PAUL	TEAM INFINITY RUN	Homme	SEH	242	0:18:29	0:36:14	0:45:21	0:54:06	1:15:14
355.	6863	MOCQUARD ARTHUR		Homme	SEH	243	0:18:21	0:36:02	0:45:14	0:54:02	1:15:15
356.	3109	FRMURCIANI LUCAS		Homme	SEH	244	0:18:31	0:36:04		0:54:13	1:15:20
357.	8543	FRLE GUEN MATHIEU		Homme	SEH	245	0:18:09	0:35:37	0:44:54	0:53:42	1:15:21
358.	8837	FRCARLE BAPTISTE	TEAM INFINITY RUN	Homme	M0H	62	0:17:45	0:35:21	0:44:45	0:53:35	1:15:22
359.	6955	FRBARADAT LEON		Homme	SEH	246	0:18:01	0:35:29	0:44:50	0:53:38	1:15:23
360.	8679	FRHAGRY ADRIEN		Homme	SEH	247	0:18:07	0:35:38	0:44:53	0:53:38	1:15:24
361.	5051	FRKLEIN JULES	LE PACK	Homme	SEH	248	0:18:07	0:35:37	0:44:47	0:53:37	1:15:24
362.	7609	FRCOUSSEMENT NICOLAS	UA VERSAILLES	Homme	M3H	6	0:17:32	0:34:51	0:44:14	0:53:13	1:15:24
363.	7206	FRJABRI ELIAS	S/L STADE FRANCAIS (PARIS)	Homme	SEH	249	0:18:12	0:35:55	0:45:12	0:54:03	1:15:25
364.	4624	FRDOSSOT ÉDOUARD		Homme	SEH	250	0:18:14	0:35:51	0:45:04	0:53:50	1:15:26
365.	4766	FRPALANSON ANTOINE	VALLEE DE LA MARNE ATHLETISME 77	Homme	SEH	251	0:18:09	0:35:42	0:44:57	0:53:44	1:15:27
366.	842	FRTESTA ANTOINE	RUN UP NANTERRE	Homme	M0H	63	0:18:03	0:35:29	0:44:37	0:53:23	1:15:28
367.	1936	FRSTEMLER GABRIEL	AC BOULOGNE BILLANCOURT	Homme	SEH	252	0:18:35	0:36:11	0:45:25	0:54:17	1:15:31
368.	8527	FRRADENAC VALMONT		Homme	SEH	253	0:17:50	0:35:23	0:44:40	0:53:28	1:15:32
369.	5965	FRGRANCHER FRANCIS	TEAM INFINITY RUN	Homme	M2H	6	0:17:40				1:15:36
370.	704	FRMACQUART ANTHONY	US CAMON	Homme	M2H	7	0:17:58	0:35:23	0:44:36	0:53:25	1:15:37
371.	2166	FRMOUALEK MUSTAPHA	USM MALAKOFF	Homme	M0H	64	0:17:08	0:34:34	0:43:57	0:53:14	1:15:38
372.	4905	FRPRUNIER HUGO		Homme	SEH	254	0:18:16	0:35:48	0:44:58	0:53:49	1:15:41
373.	1095	FRTHEOHARIS ALEXANDRE	SCO STE-MARGUERITE MARSEILLE*	Homme	M0H	65	0:18:09	0:35:48	0:45:09	0:54:04	1:15:41
374.	4310	FRMORICE FLORENTIN	S/L STADE NANTAIS AC	Homme	SEH	255	0:18:08	0:35:36	0:44:47	0:53:38	1:15:44
375.	7177	FRRETIF STÉPHANE	FOULEES DE ST GERMAIN EN LAYE	Homme	M2H	8	0:18:13	0:35:42		0:53:53	1:15:45
376.	5880	FRLAQUERRIERE BENJAMIN	AO CHARENTON	Homme	M1H	28	0:17:27	0:34:29	0:43:47	0:53:06	1:15:46
377.	4975	FRSTIMOLO MATHIAS	EA ST QUENTIN EN YVELINES	Homme	SEH	256	0:18:03	0:35:35	0:44:53	0:53:48	1:15:46
